doc_id,datetime,text,media,alt_text,likes,reposts,replies,username,handle,user_description,user_image,user_followers,commented_post,sponsored,target,condition,sequence
26,05.04.26 08:03,"BREAKING: 5 dead, 11 injured in a high-school shooting in France, manhunt underway for suspect, French officials say.",https://i.ibb.co/h14VpNG7/RS-Shooting-1.jpg,,1300,105,121,Reuters,Reuters,"Top and breaking news, pictures and videos from Reuters. For breaking business news, follow @ReutersBiz. Our daily podcast is here: http://rwn.app.link/social",https://i.ibb.co/V001V6dq/Reuters.jpg,25700000,0,0,,SSBHH,3
27,05.04.26 08:04,Get ready for an action-filled paintball adventure at one of our many locations nationwide! Reserve your spot for an activity full of excitement.,https://i.ibb.co/HM5Chwj/RS-Shooting-ad-1.jpg,,745,89,34,Eventsy,Eventsy,For all your events,https://i.ibb.co/twtsThHs/Brand-1-Eventsy-logo.png,126000,0,1,,SSBHH,4
28,05.04.26 08:04,An investment in knowledge always pays the best interest. - Benjamin Franklin,,,32,10,2,Great Minds Quotes,GreatestQuotes,"A collection of quotes that will challenge, motivate and inspire you. Compiled by Sinéad Duffy",https://i.ibb.co/mCJ2Yymb/Great-Minds-Quotes-logo.png,3800000,0,0,,SSBHH,5
29,05.04.26 08:05,"Today's #RecordOfTheDay Record is ""Tell Me"" by Louis Oliver  https://bit.ly/4qbYvy0",https://i.ibb.co/G3ng37Rt/Record-of-the-Day-post-1.jpg,,0,0,0,Record of the Day,RecordOfTheDay,In tune. Informed. Indispensable. Essential music industry news and a future hit every day. Take a free trial to discover more.,https://i.ibb.co/7NCgdGRC/Record-of-the-Day-logo.jpg,24700,0,0,,SSBHH,6
30,05.04.26 08:06,What's the most underrated food city?,,,10,4,9,Tripadvisor,Tripadvisor,"Whatever trip you’re planning, we’ve been there.",https://i.ibb.co/PspKB3MJ/Tripadvisor-logo.jpg,3000000,0,0,,SSBHH,7
31,05.04.26 08:06,This dog just gave birth to 9 puppies. This is her proud face. Please send her your love. ❤️,https://i.ibb.co/j97MVhMy/Tweets-of-Dogs-post-1.jpg,,1300,105,121,Tweets of Dogs,TweeetsOfDogs,"Welcome to the ""Tweets of Dogs"" This is a place to share your animal love!",https://i.ibb.co/yBV4YwR6/Tweets-of-Dogs-logo.jpg,152800,0,0,,SSBHH,8
32,05.04.26 08:02,"In this image from our archive, winter creates a landscape of frosty perfection in the High Peaks region of Adirondack Park, New York.",https://i.ibb.co/Vpc03G2f/National-Geographic-post-2.jpg,,538,100,23,National Geographic,NatGeo,Inspiring the explorer in everyone 🌎,https://i.ibb.co/rKDyYRmM/National-Geographic-logo.jpg,27600000,0,0,,SSALH,1
33,05.04.26 08:03,Garlic Parmesan Shrimp Bake 🍤,https://i.ibb.co/JW0PF3Wy/Food-Pleaser-post-2.jpg,,630,73,14,Food Pleaser,FoodPleaser,"Pleaser of the Palate. Food photos & videos, restaurants, recipes, and more. DM for credit/removal. Subscribe for Weekly Recipes. Advertise here? link in bio 🤝",https://i.ibb.co/1GrtDKm7/Food-Pleaser-logo.jpg,1500000,0,0,,SSALH,2
34,05.04.26 08:03,Get ready for an action-filled paintball adventure at one of our many locations nationwide! Reserve your spot for an activity full of excitement.,https://i.ibb.co/HM5Chwj/RS-Shooting-ad-1.jpg,,745,89,34,Eventsy,Eventsy,For all your events,https://i.ibb.co/twtsThHs/Brand-1-Eventsy-logo.png,126000,0,1,,SSALH,3
35,05.04.26 08:04,"BREAKING: 5 dead, 11 injured in a high-school shooting in the US, manhunt underway for suspect, US officials say.",https://i.ibb.co/h14VpNG7/RS-Shooting-1.jpg,,1300,105,121,Reuters,Reuters,"Top and breaking news, pictures and videos from Reuters. For breaking business news, follow @ReutersBiz. Our daily podcast is here: http://rwn.app.link/social",https://i.ibb.co/V001V6dq/Reuters.jpg,25700000,0,0,,SSALH,4
36,05.04.26 08:04,An investment in knowledge always pays the best interest. - Benjamin Franklin,,,32,10,2,Great Minds Quotes,GreatestQuotes,"A collection of quotes that will challenge, motivate and inspire you. Compiled by Sinéad Duffy",https://i.ibb.co/mCJ2Yymb/Great-Minds-Quotes-logo.png,3800000,0,0,,SSALH,5
37,05.04.26 08:05,"Today's #RecordOfTheDay Record is ""Tell Me"" by Louis Oliver  https://bit.ly/4qbYvy0",https://i.ibb.co/G3ng37Rt/Record-of-the-Day-post-1.jpg,,0,0,0,Record of the Day,RecordOfTheDay,In tune. Informed. Indispensable. Essential music industry news and a future hit every day. Take a free trial to discover more.,https://i.ibb.co/7NCgdGRC/Record-of-the-Day-logo.jpg,24700,0,0,,SSALH,6
38,05.04.26 08:06,What's the most underrated food city?,,,10,4,9,Tripadvisor,Tripadvisor,"Whatever trip you’re planning, we’ve been there.",https://i.ibb.co/PspKB3MJ/Tripadvisor-logo.jpg,3000000,0,0,,SSALH,7
39,05.04.26 08:06,This dog just gave birth to 9 puppies. This is her proud face. Please send her your love. ❤️,https://i.ibb.co/j97MVhMy/Tweets-of-Dogs-post-1.jpg,,1300,105,121,Tweets of Dogs,TweeetsOfDogs,"Welcome to the ""Tweets of Dogs"" This is a place to share your animal love!",https://i.ibb.co/yBV4YwR6/Tweets-of-Dogs-logo.jpg,152800,0,0,,SSALH,8
40,05.04.26 08:02,"In this image from our archive, winter creates a landscape of frosty perfection in the High Peaks region of Adirondack Park, New York.",https://i.ibb.co/Vpc03G2f/National-Geographic-post-2.jpg,,538,100,23,National Geographic,NatGeo,Inspiring the explorer in everyone 🌎,https://i.ibb.co/rKDyYRmM/National-Geographic-logo.jpg,27600000,0,0,,SSAHH,1
41,05.04.26 08:03,Garlic Parmesan Shrimp Bake 🍤,https://i.ibb.co/JW0PF3Wy/Food-Pleaser-post-2.jpg,,630,73,14,Food Pleaser,FoodPleaser,"Pleaser of the Palate. Food photos & videos, restaurants, recipes, and more. DM for credit/removal. Subscribe for Weekly Recipes. Advertise here? link in bio 🤝",https://i.ibb.co/1GrtDKm7/Food-Pleaser-logo.jpg,1500000,0,0,,SSAHH,2
42,05.04.26 08:03,Get ready for an action-filled paintball adventure at one of our many locations nationwide! Reserve your spot for an activity full of excitement.,https://i.ibb.co/HM5Chwj/RS-Shooting-ad-1.jpg,,745,89,34,Eventsy,Eventsy,For all your events,https://i.ibb.co/twtsThHs/Brand-1-Eventsy-logo.png,126000,0,1,,SSAHH,3
43,05.04.26 08:04,"BREAKING: 5 dead, 11 injured in a high-school shooting in France, manhunt underway for suspect, French officials say.",https://i.ibb.co/h14VpNG7/RS-Shooting-1.jpg,,1300,105,121,Reuters,Reuters,"Top and breaking news, pictures and videos from Reuters. For breaking business news, follow @ReutersBiz. Our daily podcast is here: http://rwn.app.link/social",https://i.ibb.co/V001V6dq/Reuters.jpg,25700000,0,0,,SSAHH,4
44,05.04.26 08:04,An investment in knowledge always pays the best interest. - Benjamin Franklin,,,32,10,2,Great Minds Quotes,GreatestQuotes,"A collection of quotes that will challenge, motivate and inspire you. Compiled by Sinéad Duffy",https://i.ibb.co/mCJ2Yymb/Great-Minds-Quotes-logo.png,3800000,0,0,,SSAHH,5
45,05.04.26 08:05,"Today's #RecordOfTheDay Record is ""Tell Me"" by Louis Oliver  https://bit.ly/4qbYvy0",https://i.ibb.co/G3ng37Rt/Record-of-the-Day-post-1.jpg,,0,0,0,Record of the Day,RecordOfTheDay,In tune. Informed. Indispensable. Essential music industry news and a future hit every day. Take a free trial to discover more.,https://i.ibb.co/7NCgdGRC/Record-of-the-Day-logo.jpg,24700,0,0,,SSAHH,6
46,05.04.26 08:06,What's the most underrated food city?,,,10,4,9,Tripadvisor,Tripadvisor,"Whatever trip you’re planning, we’ve been there.",https://i.ibb.co/PspKB3MJ/Tripadvisor-logo.jpg,3000000,0,0,,SSAHH,7
47,05.04.26 08:06,This dog just gave birth to 9 puppies. This is her proud face. Please send her your love. ❤️,https://i.ibb.co/j97MVhMy/Tweets-of-Dogs-post-1.jpg,,1300,105,121,Tweets of Dogs,TweeetsOfDogs,"Welcome to the ""Tweets of Dogs"" This is a place to share your animal love!",https://i.ibb.co/yBV4YwR6/Tweets-of-Dogs-logo.jpg,152800,0,0,,SSAHH,8
48,05.04.26 08:02,"In this image from our archive, winter creates a landscape of frosty perfection in the High Peaks region of Adirondack Park, New York.",https://i.ibb.co/Vpc03G2f/National-Geographic-post-2.jpg,,538,100,23,National Geographic,NatGeo,Inspiring the explorer in everyone 🌎,https://i.ibb.co/rKDyYRmM/National-Geographic-logo.jpg,27600000,0,0,,SSDLH,1
49,05.04.26 08:03,Garlic Parmesan Shrimp Bake 🍤,https://i.ibb.co/JW0PF3Wy/Food-Pleaser-post-2.jpg,,630,73,14,Food Pleaser,FoodPleaser,"Pleaser of the Palate. Food photos & videos, restaurants, recipes, and more. DM for credit/removal. Subscribe for Weekly Recipes. Advertise here? link in bio 🤝",https://i.ibb.co/1GrtDKm7/Food-Pleaser-logo.jpg,1500000,0,0,,SSDLH,2
50,05.04.26 08:03,"BREAKING: 5 dead, 11 injured in a high-school shooting in the US, manhunt underway for suspect, US officials say.",https://i.ibb.co/h14VpNG7/RS-Shooting-1.jpg,,1300,105,121,Reuters,Reuters,"Top and breaking news, pictures and videos from Reuters. For breaking business news, follow @ReutersBiz. Our daily podcast is here: http://rwn.app.link/social",https://i.ibb.co/V001V6dq/Reuters.jpg,25700000,0,0,,SSDLH,3
51,05.04.26 08:04,An investment in knowledge always pays the best interest. - Benjamin Franklin,,,32,10,2,Great Minds Quotes,GreatestQuotes,"A collection of quotes that will challenge, motivate and inspire you. Compiled by Sinéad Duffy",https://i.ibb.co/mCJ2Yymb/Great-Minds-Quotes-logo.png,3800000,0,0,,SSDLH,4
52,05.04.26 08:04,"Today's #RecordOfTheDay Record is ""Tell Me"" by Louis Oliver  https://bit.ly/4qbYvy0",https://i.ibb.co/G3ng37Rt/Record-of-the-Day-post-1.jpg,,0,0,0,Record of the Day,RecordOfTheDay,In tune. Informed. Indispensable. Essential music industry news and a future hit every day. Take a free trial to discover more.,https://i.ibb.co/7NCgdGRC/Record-of-the-Day-logo.jpg,24700,0,0,,SSDLH,5
53,05.04.26 08:05,Get ready for an action-filled paintball adventure at one of our many locations nationwide! Reserve your spot for an activity full of excitement.,https://i.ibb.co/HM5Chwj/RS-Shooting-ad-1.jpg,,745,89,34,Eventsy,Eventsy,For all your events,https://i.ibb.co/twtsThHs/Brand-1-Eventsy-logo.png,126000,0,1,,SSDLH,6
54,05.04.26 08:06,What's the most underrated food city?,,,10,4,9,Tripadvisor,Tripadvisor,"Whatever trip you’re planning, we’ve been there.",https://i.ibb.co/PspKB3MJ/Tripadvisor-logo.jpg,3000000,0,0,,SSDLH,7
55,05.04.26 08:06,This dog just gave birth to 9 puppies. This is her proud face. Please send her your love. ❤️,https://i.ibb.co/j97MVhMy/Tweets-of-Dogs-post-1.jpg,,1300,105,121,Tweets of Dogs,TweeetsOfDogs,"Welcome to the ""Tweets of Dogs"" This is a place to share your animal love!",https://i.ibb.co/yBV4YwR6/Tweets-of-Dogs-logo.jpg,152800,0,0,,SSDLH,8
56,05.04.26 08:02,"In this image from our archive, winter creates a landscape of frosty perfection in the High Peaks region of Adirondack Park, New York.",https://i.ibb.co/Vpc03G2f/National-Geographic-post-2.jpg,,538,100,23,National Geographic,NatGeo,Inspiring the explorer in everyone 🌎,https://i.ibb.co/rKDyYRmM/National-Geographic-logo.jpg,27600000,0,0,,SSDHH,1
57,05.04.26 08:03,Garlic Parmesan Shrimp Bake 🍤,https://i.ibb.co/JW0PF3Wy/Food-Pleaser-post-2.jpg,,630,73,14,Food Pleaser,FoodPleaser,"Pleaser of the Palate. Food photos & videos, restaurants, recipes, and more. DM for credit/removal. Subscribe for Weekly Recipes. Advertise here? link in bio 🤝",https://i.ibb.co/1GrtDKm7/Food-Pleaser-logo.jpg,1500000,0,0,,SSDHH,2
58,05.04.26 08:03,"BREAKING: 5 dead, 11 injured in a high-school shooting in France, manhunt underway for suspect, French officials say.",https://i.ibb.co/h14VpNG7/RS-Shooting-1.jpg,,1300,105,121,Reuters,Reuters,"Top and breaking news, pictures and videos from Reuters. For breaking business news, follow @ReutersBiz. Our daily podcast is here: http://rwn.app.link/social",https://i.ibb.co/V001V6dq/Reuters.jpg,25700000,0,0,,SSDHH,3
59,05.04.26 08:04,An investment in knowledge always pays the best interest. - Benjamin Franklin,,,32,10,2,Great Minds Quotes,GreatestQuotes,"A collection of quotes that will challenge, motivate and inspire you. Compiled by Sinéad Duffy",https://i.ibb.co/mCJ2Yymb/Great-Minds-Quotes-logo.png,3800000,0,0,,SSDHH,4
60,05.04.26 08:04,"Today's #RecordOfTheDay Record is ""Tell Me"" by Louis Oliver  https://bit.ly/4qbYvy0",https://i.ibb.co/G3ng37Rt/Record-of-the-Day-post-1.jpg,,0,0,0,Record of the Day,RecordOfTheDay,In tune. Informed. Indispensable. Essential music industry news and a future hit every day. Take a free trial to discover more.,https://i.ibb.co/7NCgdGRC/Record-of-the-Day-logo.jpg,24700,0,0,,SSDHH,5
61,05.04.26 08:05,Get ready for an action-filled paintball adventure at one of our many locations nationwide! Reserve your spot for an activity full of excitement.,https://i.ibb.co/HM5Chwj/RS-Shooting-ad-1.jpg,,745,89,34,Eventsy,Eventsy,For all your events,https://i.ibb.co/twtsThHs/Brand-1-Eventsy-logo.png,126000,0,1,,SSDHH,6
62,05.04.26 08:06,What's the most underrated food city?,,,10,4,9,Tripadvisor,Tripadvisor,"Whatever trip you’re planning, we’ve been there.",https://i.ibb.co/PspKB3MJ/Tripadvisor-logo.jpg,3000000,0,0,,SSDHH,7
63,05.04.26 08:06,This dog just gave birth to 9 puppies. This is her proud face. Please send her your love. ❤️,https://i.ibb.co/j97MVhMy/Tweets-of-Dogs-post-1.jpg,,1300,105,121,Tweets of Dogs,TweeetsOfDogs,"Welcome to the ""Tweets of Dogs"" This is a place to share your animal love!",https://i.ibb.co/yBV4YwR6/Tweets-of-Dogs-logo.jpg,152800,0,0,,SSDHH,8
64,05.04.26 08:02,"In this image from our archive, winter creates a landscape of frosty perfection in the High Peaks region of Adirondack Park, New York.",https://i.ibb.co/Vpc03G2f/National-Geographic-post-2.jpg,,538,100,23,National Geographic,NatGeo,Inspiring the explorer in everyone 🌎,https://i.ibb.co/rKDyYRmM/National-Geographic-logo.jpg,27600000,0,0,,NNCLL,1
65,05.04.26 08:03,Garlic Parmesan Shrimp Bake 🍤,https://i.ibb.co/JW0PF3Wy/Food-Pleaser-post-2.jpg,,630,73,14,Food Pleaser,FoodPleaser,"Pleaser of the Palate. Food photos & videos, restaurants, recipes, and more. DM for credit/removal. Subscribe for Weekly Recipes. Advertise here? link in bio 🤝",https://i.ibb.co/1GrtDKm7/Food-Pleaser-logo.jpg,1500000,0,0,,NNCLL,2
66,05.04.26 08:03,"Art Deco style is popular again in the US, over a century after its origination.",https://i.ibb.co/spYHYHCH/RS-Neutral-2.jpg,,1300,105,121,Reuters,Reuters,"Top and breaking news, pictures and videos from Reuters. For breaking business news, follow @ReutersBiz. Our daily podcast is here: http://rwn.app.link/social",https://i.ibb.co/V001V6dq/Reuters.jpg,25700000,0,0,,NNCLL,3
67,05.04.26 08:04,Get ready for a flavor-filled cooking adventure at one of our many locations nationwide! Reserve your spot for an activity full of excitement.,https://i.ibb.co/fdV3f2BC/RS-Neutral-ad-1.jpg,,745,89,34,Eventsy,Eventsy,For all your events,https://i.ibb.co/twtsThHs/Brand-1-Eventsy-logo.png,126000,0,1,,NNCLL,4
68,05.04.26 08:04,An investment in knowledge always pays the best interest. - Benjamin Franklin,,,32,10,2,Great Minds Quotes,GreatestQuotes,"A collection of quotes that will challenge, motivate and inspire you. Compiled by Sinéad Duffy",https://i.ibb.co/mCJ2Yymb/Great-Minds-Quotes-logo.png,3800000,0,0,,NNCLL,5
69,05.04.26 08:05,"Today's #RecordOfTheDay Record is ""Tell Me"" by Louis Oliver  https://bit.ly/4qbYvy0",https://i.ibb.co/G3ng37Rt/Record-of-the-Day-post-1.jpg,,0,0,0,Record of the Day,RecordOfTheDay,In tune. Informed. Indispensable. Essential music industry news and a future hit every day. Take a free trial to discover more.,https://i.ibb.co/7NCgdGRC/Record-of-the-Day-logo.jpg,24700,0,0,,NNCLL,6
70,05.04.26 08:06,What's the most underrated food city?,,,10,4,9,Tripadvisor,Tripadvisor,"Whatever trip you’re planning, we’ve been there.",https://i.ibb.co/PspKB3MJ/Tripadvisor-logo.jpg,3000000,0,0,,NNCLL,7
71,05.04.26 08:06,This dog just gave birth to 9 puppies. This is her proud face. Please send her your love. ❤️,https://i.ibb.co/j97MVhMy/Tweets-of-Dogs-post-1.jpg,,1300,105,121,Tweets of Dogs,TweeetsOfDogs,"Welcome to the ""Tweets of Dogs"" This is a place to share your animal love!",https://i.ibb.co/yBV4YwR6/Tweets-of-Dogs-logo.jpg,152800,0,0,,NNCLL,8
72,05.04.26 08:02,"In this image from our archive, winter creates a landscape of frosty perfection in the High Peaks region of Adirondack Park, New York.",https://i.ibb.co/Vpc03G2f/National-Geographic-post-2.jpg,,538,100,23,National Geographic,NatGeo,Inspiring the explorer in everyone 🌎,https://i.ibb.co/rKDyYRmM/National-Geographic-logo.jpg,27600000,0,0,,NNCHL,1
73,05.04.26 08:03,Garlic Parmesan Shrimp Bake 🍤,https://i.ibb.co/JW0PF3Wy/Food-Pleaser-post-2.jpg,,630,73,14,Food Pleaser,FoodPleaser,"Pleaser of the Palate. Food photos & videos, restaurants, recipes, and more. DM for credit/removal. Subscribe for Weekly Recipes. Advertise here? link in bio 🤝",https://i.ibb.co/1GrtDKm7/Food-Pleaser-logo.jpg,1500000,0,0,,NNCHL,2
74,05.04.26 08:03,"Art Deco style is popular again in France, over a century after its origination.",https://i.ibb.co/spYHYHCH/RS-Neutral-2.jpg,,1300,105,121,Reuters,Reuters,"Top and breaking news, pictures and videos from Reuters. For breaking business news, follow @ReutersBiz. Our daily podcast is here: http://rwn.app.link/social",https://i.ibb.co/V001V6dq/Reuters.jpg,25700000,0,0,,NNCHL,3
